id,name.local,name.en,name.slug,code.id,children_count.subdistrict,geo.lat,geo.lon
6005,บรรพตพิสัย,Banphot Phisai,banphot-phisai-6005,6005,13,15.943,100.022
6003,ชุมแสง,Chum Saeng,chum-saeng-6003,6003,12,15.896,100.315
6015,ชุมตาบง,Chum Ta Bong,chum-ta-bong-6015,6015,2,15.627,99.572
6006,เก้าเลี้ยว,Kao Liao,kao-liao-6006,6006,5,15.849,100.085
6002,โกรกพระ,Krok Phra,krok-phra-6002,6002,9,15.594,100.081
6011,ลาดยาว,Lat Yao,lat-yao-6011,6011,12,15.726,99.824
6014,แม่เปิน,Mae Poen,mae-poen-6014,6014,1,15.738,99.294
6013,แม่วงก์,Mae Wong,mae-wong-6013,6013,4,15.883,99.516
6001,เมืองนครสวรรค์,Mueang Nakhon Sawan,mueang-nakhon-sawan-6001,6001,17,15.734,100.14
6004,หนองบัว,Nong Bua,nong-bua-6004,6004,9,15.864,100.429
6009,ไพศาลี,Phaisali,phaisali-6009,6009,8,15.622,100.604
6010,พยุหะคีรี,Phayuha Khiri,phayuha-khiri-6010,6010,11,15.455,100.145
6012,ตากฟ้า,Tak Fa,tak-fa-6012,6012,7,15.331,100.428
6007,ตาคลี,Takhli,takhli-6007,6007,10,15.175,100.393
6008,ท่าตะโก,Tha Tako,tha-tako-6008,6008,10,15.631,100.48
