id,name.th,name.en,name.slug,code.dopa,children_count.subdistricts,children_count.villages,geo.lat,geo.lon
9210,หาดสำราญ,Hat Samran,hat-samran,9210,3,22,7.033,99.449
9206,ห้วยยอด,Huai Yot,huai-yot,9206,16,141,7.811,99.618
9202,กันตัง,Kantang,kantang,9202,16,95,7.272,99.475
9201,เมืองตรัง,Mueang Trang,mueang-trang,9201,15,187,7.599,99.664
9208,นาโยง,Na Yong,na-yong,9208,6,53,7.566,99.699
9204,ปะเหลียน,Palian,palian,9204,11,86,7.152,99.651
9209,รัษฎา,Ratsada,ratsada,9209,5,50,7.987,99.645
9205,สิเกา,Sikao,sikao,9205,5,40,7.470,99.320
9207,วังวิเศษ,Wang Wiset,wang-wiset,9207,5,68,7.690,99.523
9203,ย่านตาขาว,Yan Ta Khao,yan-ta-khao,9203,8,67,7.406,99.674
