id,name.local,name.en,name.slug,code.id,children_count.subdistrict,geo.lat,geo.lon
1050,บางบอน,Bang Bon,bang-bon-1050,1050,1,13.646,100.37
1006,บางกะปิ,Bang Kapi,bang-kapi-1006,1006,2,13.786,100.635
1040,บางแค,Bang Khae,bang-khae-1040,1040,4,13.683,100.396
1005,บางเขน,Bang Khen,bang-khen-1005,1005,2,13.868,100.606
1031,บางคอแหลม,Bang Kho Laem,bang-kho-laem-1031,1031,3,13.706,100.508
1021,บางขุนเทียน,Bang Khun Thian,bang-khun-thian-1021,1021,2,13.605,100.395
1047,บางนา,Bang Na,bang-na-1047,1047,1,13.672,100.616
1025,บางพลัด,Bang Phlat,bang-phlat-1025,1025,4,13.781,100.482
1004,บางรัก,Bang Rak,bang-rak-1004,1004,5,13.725,100.514
1029,บางซื่อ,Bang Sue,bang-sue-1029,1029,1,13.82,100.529
1020,บางกอกน้อย,Bangkok Noi,bangkok-noi-1020,1020,5,13.759,100.481
1016,บางกอกใหญ่,Bangkok Yai,bangkok-yai-1016,1016,2,13.743,100.486
1027,บึงกุ่ม,Bueng Kum,bueng-kum-1027,1027,1,13.808,100.65
1030,จตุจักร,Chatuchak,chatuchak-1030,1030,1,13.826,100.565
1035,จอมทอง,Chom Thong,chom-thong-1035,1035,4,13.702,100.476
1026,ดินแดง,Din Daeng,din-daeng-1026,1026,1,13.778,100.567
1036,ดอนเมือง,Don Mueang,don-mueang-1036,1036,1,13.925,100.593
1002,ดุสิต,Dusit,dusit-1002,1002,5,13.758,100.517
1017,ห้วยขวาง,Huai Khwang,huai-khwang-1017,1017,3,13.769,100.577
1043,คันนายาว,Khan Na Yao,khan-na-yao-1043,1043,1,13.821,100.677
1046,คลองสามวา,Khlong Sam Wa,khlong-sam-wa-1046,1046,5,13.854,100.745
1018,คลองสาน,Khlong San,khlong-san-1018,1018,4,13.731,100.497
1033,คลองเตย,Khlong Toei,khlong-toei-1033,1033,3,13.723,100.571
1041,หลักสี่,Lak Si,lak-si-1041,1041,2,13.871,100.58
1011,ลาดกระบัง,Lat Krabang,lat-krabang-1011,1011,6,13.723,100.771
1038,ลาดพร้าว,Lat Phrao,lat-phrao-1038,1038,2,13.84,100.6
1010,มีนบุรี,Min Buri,min-buri-1010,1010,2,13.804,100.723
1003,หนองจอก,Nong Chok,nong-chok-1003,1003,8,13.872,100.81
1023,หนองแขม,Nong Khaem,nong-khaem-1023,1023,2,13.714,100.351
1007,ปทุมวัน,Pathum Wan,pathum-wan-1007,1007,4,13.744,100.52
1022,ภาษีเจริญ,Phasi Charoen,phasi-charoen-1022,1022,7,13.727,100.457
1014,พญาไท,Phaya Thai,phaya-thai-1014,1014,1,13.782,100.545
1009,พระโขนง,Phra Khanong,phra-khanong-1009,1009,1,13.692,100.626
1001,พระนคร,Phra Nakhon,phra-nakhon-1001,1001,12,13.753,100.5
1008,ป้อมปราบศัตรูพ่าย,Pom Prap Sattru Phai,pom-prap-sattru-phai-1008,1008,5,13.752,100.507
1032,ประเวศ,Prawet,prawet-1032,1032,3,13.687,100.656
1024,ราษฎร์บูรณะ,Rat Burana,rat-burana-1024,1024,2,13.67,100.51
1037,ราชเทวี,Ratchathewi,ratchathewi-1037,1037,4,13.752,100.528
1042,สายไหม,Sai Mai,sai-mai-1042,1042,3,13.898,100.63
1013,สัมพันธวงศ์,Samphanthawong,samphanthawong-1013,1013,3,13.734,100.513
1044,สะพานสูง,Saphan Sung,saphan-sung-1044,1044,1,13.761,100.688
1028,สาทร,Sathon,sathon-1028,1028,3,13.71,100.532
1034,สวนหลวง,Suan Luang,suan-luang-1034,1034,1,13.726,100.628
1019,ตลิ่งชัน,Taling Chan,taling-chan-1019,1019,6,13.76,100.456
1048,ทวีวัฒนา,Thawi Watthana,thawi-watthana-1048,1048,2,13.758,100.348
1015,ธนบุรี,Thon Buri,thon-buri-1015,1015,5,13.731,100.49
1049,ทุ่งครุ,Thung Khru,thung-khru-1049,1049,2,13.651,100.51
1045,วังทองหลาง,Wang Thonglang,wang-thonglang-1045,1045,1,13.779,100.609
1039,วัฒนา,Watthana,watthana-1039,1039,3,13.743,100.56
1012,ยานนาวา,Yan Nawa,yan-nawa-1012,1012,2,13.682,100.533
