id,name.th,name.en,name.slug,code.dopa,children_count.subdistricts,children_count.villages,geo.lat,geo.lon
9014,บางกล่ำ,Bang Klam,bang-klam,9014,4,36,7.075,100.450
9003,จะนะ,Chana,chana,9003,14,139,6.794,100.700
9011,หาดใหญ่,Hat Yai,hat-yai,9011,13,297,7.045,100.446
9016,คลองหอยโข่ง,Khlong Hoi Khong,khlong-hoi-khong,9016,4,32,6.886,100.442
9013,ควนเนียง,Khuan Niang,khuan-niang,9013,4,46,7.267,100.366
9008,กระแสสินธุ์,Krasae Sin,krasae-sin,9008,4,22,7.561,100.356
9001,เมืองสงขลา,Mueang Songkhla,mueang-songkhla,9001,6,102,7.163,100.542
9012,นาหม่อม,Na Mom,na-mom,9012,4,29,6.965,100.529
9004,นาทวี,Na Thawi,na-thawi,9004,10,92,6.781,100.670
9007,ระโนด,Ranot,ranot,9007,12,73,7.789,100.269
9009,รัตภูมิ,Rattaphum,rattaphum,9009,5,63,7.183,100.313
9006,สะบ้าย้อย,Saba Yoi,saba-yoi,9006,9,62,6.624,101.057
9010,สะเดา,Sadao,sadao,9010,9,95,6.636,100.416
9002,สทิงพระ,Sathing Phra,sathing-phra,9002,11,79,7.580,100.406
9015,สิงหนคร,Singhanakhon,singhanakhon,9015,11,91,7.214,100.567
9005,เทพา,Thepha,thepha,9005,7,67,6.820,100.940
