id,name.local,name.en,name.slug,code.id,children_count.subdistrict,geo.lat,geo.lon
6605,บางมูลนาก,Bang Mun Nak,bang-mun-nak-6605,6605,9,16.033,100.479
6610,บึงนาราง,Bueng Na Rang,bueng-na-rang-6610,6610,5,16.208,100.231
6611,ดงเจริญ,Dong Charoen,dong-charoen-6611,6611,5,16.028,100.648
6601,เมืองพิจิตร,Mueang Phichit,mueang-phichit-6601,6601,16,16.443,100.343
6603,โพธิ์ประทับช้าง,Pho Prathap Chang,pho-prathap-chang-6603,6603,7,16.351,100.264
6606,โพทะเล,Pho Thale,pho-thale-6606,6606,11,15.963,100.276
6609,สากเหล็ก,Sak Lek,sak-lek-6609,6609,5,16.522,100.556
6607,สามง่าม,Sam Ngam,sam-ngam-6607,6607,5,16.432,100.212
6604,ตะพานหิน,Taphan Hin,taphan-hin-6604,6604,13,16.222,100.427
6608,ทับคล้อ,Thap Khlo,thap-khlo-6608,6608,4,16.189,100.568
6612,วชิรบารมี,Wachirabarami,wachirabarami-6612,6612,4,16.597,100.114
6602,วังทรายพูน,Wang Sai Phun,wang-sai-phun-6602,6602,4,16.339,100.504
