id,name.local,name.en,name.slug,code.id,children_count.subdistrict,geo.lat,geo.lon
4111,บ้านดุง,Ban Dung,ban-dung-4111,4111,13,17.684,103.259
4117,บ้านผือ,Ban Phue,ban-phue-4117,4117,13,17.75,102.446
4108,ไชยวาน,Chai Wan,chai-wan-4108,4108,4,17.237,103.204
4124,กู่แก้ว,Ku Kaeo,ku-kaeo-4124,4124,4,17.205,103.141
4104,กุมภวาปี,Kumphawapi,kumphawapi-4104,4104,13,17.044,102.934
4102,กุดจับ,Kut Chap,kut-chap-4102,4102,7,17.44,102.429
4101,เมืองอุดรธานี,Mueang Udon Thani,mueang-udon-thani-4101,4101,20,17.411,102.792
4122,นายูง,Na Yung,na-yung-4122,4122,4,17.916,102.213
4118,น้ำโสม,Nam Som,nam-som-4118,4118,7,17.732,102.162
4105,โนนสะอาด,Non Sa-at,non-sa-at-4105,4105,6,16.977,102.902
4106,หนองหาน,Nong Han,nong-han-4106,4106,12,17.395,103.273
4121,หนองแสง,Nong Saeng,nong-saeng-4121,4121,4,17.172,102.842
4103,หนองวัวซอ,Nong Wua So,nong-wua-so-4103,4103,8,17.288,102.576
4119,เพ็ญ,Phen,phen-4119,4119,11,17.6,102.764
4123,พิบูลย์รักษ์,Phibun Rak,phibun-rak-4123,4123,3,17.563,103.123
4125,ประจักษ์ศิลปาคม,Prachak Sinlapakhom,prachak-sinlapakhom-4125,4125,3,17.237,102.934
4120,สร้างคอม,Sang Khom,sang-khom-4120,4120,6,17.843,103.058
4109,ศรีธาตุ,Si That,si-that-4109,4109,7,16.987,103.211
4107,ทุ่งฝน,Thung Fon,thung-fon-4107,4107,4,17.542,103.159
4110,วังสามหมอ,Wang Sam Mo,wang-sam-mo-4110,4110,6,16.941,103.456
