id,name.local,name.en,name.slug,code.id,children_count.subdistrict,geo.lat,geo.lon
8413,บ้านนาเดิม,Ban Na Doem,ban-na-doem-8413,8413,4,8.947,99.269
8412,บ้านนาสาร,Ban Na San,ban-na-san-8412,8412,11,8.749,99.348
8409,บ้านตาขุน,Ban Ta Khun,ban-ta-khun-8409,8409,4,8.949,98.896
8418,ชัยบุรี,Chai Buri,chai-buri-8418,8418,4,8.434,99.071
8406,ไชยา,Chaiya,chaiya-8406,8406,9,9.391,99.198
8403,ดอนสัก,Don Sak,don-sak-8403,8403,4,9.31,99.66
8402,กาญจนดิษฐ์,Kanchanadit,kanchanadit-8402,8402,13,9.181,99.465
8414,เคียนซา,Khian Sa,khian-sa-8414,8414,5,8.845,99.251
8408,คีรีรัฐนิคม,Khiri Rat Nikhom,khiri-rat-nikhom-8408,8408,8,9.063,99.025
8405,เกาะพะงัน,Ko Pha-ngan,ko-pha-ngan-8405,8405,2,9.802,99.979
8404,เกาะสมุย,Ko Samui,ko-samui-8404,8404,7,9.708,99.675
8401,เมืองสุราษฎร์ธานี,Mueang Surat Thani,mueang-surat-thani-8401,8401,11,9.137,99.32
8410,พนม,Phanom,phanom-8410,8410,6,8.878,98.806
8416,พระแสง,Phrasaeng,phrasaeng-8416,8416,7,8.59,99.166
8417,พุนพิน,Phunphin,phunphin-8417,8417,16,9.125,99.199
8407,ท่าชนะ,Tha Chana,tha-chana-8407,8407,6,9.593,99.183
8411,ท่าฉาง,Tha Chang,tha-chang-8411,8411,6,9.258,99.175
8419,วิภาวดี,Vibhavadi,vibhavadi-8419,8419,2,9.227,98.807
8415,เวียงสระ,Wiang Sa,wiang-sa-8415,8415,5,8.649,99.342
