id,name.th,name.en,name.slug,code.dopa,children_count.villages,zip_codes,geo.lat,geo.lon
440602,บ่อใหญ่,Bo Yai,bo-yai,440602,18,44130,16.115,103.176
440601,บรบือ,Borabue,borabue,440601,17,44130,16.061,103.143
440611,บัวมาศ,Bua Mat,bua-mat,440611,9,44130,15.897,103.202
440620,ดอนงัว,Don Ngua,don-ngua,440620,10,44130,15.877,103.159
440606,กำพี้,Kamphi,kamphi,440606,15,44130,15.959,103.144
440608,โนนแดง,Non Daeng,non-daeng,440608,20,44130,15.903,103.080
440607,โนนราษี,Non Rasi,non-rasi,440607,13,44130,15.888,103.142
440610,หนองจิก,Nong Chik,nong-chik,440610,20,44130,16.024,103.170
440613,หนองคูขาด,Nong Khu Khat,nong-khu-khat,440613,18,44130,15.938,102.989
440619,หนองโก,Nong Ko,nong-ko,440619,10,44130,16.068,103.201
440605,หนองม่วง,Nong Muang,nong-muang,440605,14,44130,15.961,103.212
440618,หนองสิม,Nong Sim,nong-sim,440618,10,44130,16.012,103.114
440604,วังไชย,Wang Chai,wang-chai,440604,10,44130,15.986,103.064
440615,วังใหม่,Wang Mai,wang-mai,440615,10,44130,16.031,103.039
440616,ยาง,Yang,yang,440616,15,44130,15.919,103.236
