id,name.local,name.en,name.slug,code.id,children_count.subdistrict,geo.lat,geo.lon
9309,บางแก้ว,Bang Kaeo,bang-kaeo-9309,9309,3,7.451,100.157
9303,เขาชัยสน,Khao Chaison,khao-chaison-9303,9303,5,7.489,100.194
9305,ควนขนุน,Khuan Khanun,khuan-khanun-9305,9305,12,7.654,100.01
9302,กงหรา,Kong Ra,kong-ra-9302,9302,5,7.473,99.989
9301,เมืองพัทลุง,Mueang Phatthalung,mueang-phatthalung-9301,9301,14,7.589,100.05
9308,ป่าบอน,Pa Bon,pa-bon-9308,9308,5,7.318,100.23
9310,ป่าพยอม,Pa Phayom,pa-phayom-9310,9310,4,7.86,99.947
9306,ปากพะยูน,Pak Phayun,pak-phayun-9306,9306,7,7.244,100.321
9307,ศรีบรรพต,Si Banphot,si-banphot-9307,9307,3,7.746,99.864
9311,ศรีนครินทร์,Srinagarindra,srinagarindra-9311,9311,4,7.554,99.971
9304,ตะโหมด,Tamod,tamod-9304,9304,3,7.338,100.097
