id,name.th,name.en,name.slug,code.dopa,children_count.subdistricts,children_count.villages,geo.lat,geo.lon
5503,บ้านหลวง,Ban Luang,ban-luang,5503,4,26,18.858,100.405
5512,บ่อเกลือ,Bo Kluea,bo-kluea,5512,4,39,19.297,101.176
5515,เฉลิมพระเกียรติ,Chaloem Phra Kiat,chaloem-phra-kiat,5515,2,22,19.559,101.046
5509,เชียงกลาง,Chiang Klang,chiang-klang,5509,6,60,19.246,100.855
5502,แม่จริม,Mae Charim,mae-charim,5502,5,38,18.687,100.975
5501,เมืองน่าน,Mueang Nan,mueang-nan,5501,11,137,18.793,100.786
5510,นาหมื่น,Na Muen,na-muen,5510,4,48,18.226,100.505
5504,นาน้อย,Na Noi,na-noi,5504,7,68,18.313,100.681
5514,ภูเพียง,Phu Phiang,phu-phiang,5514,7,61,18.756,100.816
5505,ปัว,Pua,pua,5505,12,107,19.130,100.900
5511,สันติสุข,Santi Suk,santi-suk,5511,3,31,18.898,100.902
5513,สองแคว,Song Khwae,song-khwae,5513,3,25,19.384,100.567
5506,ท่าวังผา,Tha Wang Pha,tha-wang-pha,5506,10,91,19.119,100.798
5508,ทุ่งช้าง,Thung Chang,thung-chang,5508,4,40,19.447,100.811
5507,เวียงสา,Wiang Sa,wiang-sa,5507,17,128,18.679,100.837
