id,name.th,name.en,name.slug,code.dopa,children_count.villages,zip_codes,geo.lat,geo.lon
190105,ดาวเรือง,Dao Rueang,dao-rueang,190105,7,18000,14.563,100.901
190107,โคกสว่าง,Khok Sawang,khok-sawang,190107,11,18000,14.510,100.886
190112,กุดนกเปล้า,Kut Nok Plao,kut-nok-plao,190112,8,18000,14.502,100.976
190106,นาโฉง,Na Chong,na-chong,190106,3,18000,14.529,100.886
190108,หนองโน,Nong No,nong-no,190108,11,18000,14.489,100.861
190111,หนองปลาไหล,Nong Pla Lai,nong-pla-lai,190111,9,18000,14.456,100.962
190109,หนองยาว,Nong Yao,nong-yao,190109,10,18000,14.472,100.890
190110,ปากข้าวสาร,Pak Khao San,pak-khao-san,190110,4,18000,14.490,100.913
190101,ปากเพรียว,Pak Phriao,pak-phriao,190101,29,18000,14.527,100.915
190114,ตะกุด,Takut,takut,190114,6,18000,14.553,100.933
190113,ตลิ่งชัน,Taling Chan,taling-chan,190113,8,18000,14.544,100.956
