id,name.th,name.en,name.slug,code.dopa,children_count.subdistricts,children_count.villages,geo.lat,geo.lon
7103,บ่อพลอย,Bo Phloi,bo-phloi,7103,5,71,14.485,99.481
7111,ด่านมะขามเตี้ย,Dan Makham Tia,dan-makham-tia,7111,4,41,13.808,99.440
7113,ห้วยกระเจา,Huai Krachao,huai-krachao,7113,4,73,14.357,99.764
7110,เลาขวัญ,Lao Khwan,lao-khwan,7110,7,90,14.648,99.758
7101,เมืองกาญจนบุรี,Mueang Kanchanaburi,mueang-kanchanaburi,7101,11,112,14.035,99.503
7112,หนองปรือ,Nong Prue,nong-prue,7112,3,43,14.626,99.527
7107,ทองผาภูมิ,Pha Phum,pha-phum,7107,7,45,14.735,98.763
7109,พนมทวน,Phanom Thuan,phanom-thuan,7109,8,103,14.076,99.667
7102,ไทรโยค,Sai Yok,sai-yok,7102,7,57,14.035,99.287
7108,สังขละบุรี,Sangkhla Buri,sangkhla-buri,7108,3,20,14.999,98.545
7104,ศรีสวัสดิ์,Si Sawat,si-sawat,7104,6,33,14.464,99.232
7105,ท่ามะกา,Tha Maka,tha-maka,7105,17,172,13.954,99.752
7106,ท่าม่วง,Tha Muang,tha-muang,7106,13,120,13.974,99.625
