id,name.th,name.en,name.slug,code.dopa,children_count.subdistricts,children_count.villages,geo.lat,geo.lon
1050,เขต บางบอน,Bang Bon,bang-bon,1050,1,0,13.646,100.370
1006,เขต บางกะปิ,Bang Kapi,bang-kapi,1006,2,0,13.786,100.635
1031,เขต บางคอแหลม,Bang Kho Laem,bang-kho-laem,1031,3,0,13.706,100.508
1021,เขต บางขุนเทียน,Bang Khun Thian,bang-khun-thian,1021,2,0,13.605,100.395
1047,เขต บางนา,Bang Na,bang-na,1047,1,0,13.672,100.616
1025,เขต บางพลัด,Bang Phlat,bang-phlat,1025,4,0,13.781,100.482
1004,เขต บางรัก,Bang Rak,bang-rak,1004,5,0,13.725,100.514
1029,เขต บางซื่อ,Bang Sue,bang-sue,1029,1,0,13.820,100.529
1030,เขต จตุจักร,Chatuchak,chatuchak,1030,1,0,13.826,100.565
1035,เขต จอมทอง,Chom Thong,chom-thong,1035,4,0,13.702,100.476
1026,เขต ดินแดง,Din Daeng,din-daeng,1026,1,0,13.778,100.567
1002,เขต ดุสิต,Dusit,dusit,1002,5,0,13.758,100.517
1017,เขต ห้วยขวาง,Huai Khwang,huai-khwang,1017,3,0,13.769,100.577
1040,เขต บางแค,Khet Bang Khae,khet-bang-khae,1040,4,0,13.683,100.396
1005,เขต บางเขน,Khet Bang Khen,khet-bang-khen,1005,2,0,13.868,100.606
1020,เขต บางกอกน้อย,Khet Bangkok Noi,khet-bangkok-noi,1020,5,0,13.759,100.481
1016,เขต บางกอกใหญ่,Khet Bangkok Yai,khet-bangkok-yai,1016,2,0,13.743,100.486
1027,เขต บึงกุ่ม,Khet Bueng Kum,khet-bueng-kum,1027,1,0,13.808,100.650
1036,เขต ดอนเมือง,Khet Don Mueang,khet-don-mueang,1036,1,0,13.925,100.593
1043,เขต คันนายาว,Khet Khan Na Yao,khet-khan-na-yao,1043,1,0,13.821,100.677
1046,เขต คลองสามวา,Khet Khlong Sam Wa,khet-khlong-sam-wa,1046,5,0,13.854,100.745
1041,เขต หลักสี่,Khet Lak Si,khet-lak-si,1041,2,0,13.871,100.580
1022,เขต ภาษีเจริญ,Khet Phasi Charoen,khet-phasi-charoen,1022,7,0,13.727,100.457
1014,เขต พญาไท,Khet Phaya Thai,khet-phaya-thai,1014,1,0,13.782,100.545
1001,เขต พระนคร,Khet Phra Nakhon,khet-phra-nakhon,1001,12,0,13.753,100.500
1008,เขต ป้อมปราบศัตรูพ่าย,Khet Pom Prap Sattru Phai,khet-pom-prap-sattru-phai,1008,5,0,13.752,100.507
1037,เขต ราชเทวี,Khet Ratchathewi,khet-ratchathewi,1037,4,0,13.752,100.528
1044,เขต สะพานสูง,Khet Saphan Sung,khet-saphan-sung,1044,1,0,13.761,100.688
1028,เขต สาทร,Khet Sathon,khet-sathon,1028,3,0,13.710,100.532
1034,เขต สวนหลวง,Khet Suan Luang,khet-suan-luang,1034,1,0,13.726,100.628
1015,เขต ธนบุรี,Khet Thon Buri,khet-thon-buri,1015,5,0,13.731,100.490
1039,เขต วัฒนา,Khet Watthana,khet-watthana,1039,3,0,13.743,100.560
1018,เขต คลองสาน,Khlong San,khlong-san,1018,4,0,13.731,100.497
1033,เขต คลองเตย,Khlong Toei,khlong-toei,1033,3,0,13.723,100.571
1011,เขต ลาดกระบัง,Lat Krabang,lat-krabang,1011,6,0,13.723,100.771
1038,เขต ลาดพร้าว,Lat Phrao,lat-phrao,1038,2,0,13.840,100.600
1010,เขต มีนบุรี,Min Buri,min-buri,1010,2,0,13.804,100.723
1003,เขต หนองจอก,Nong Chok,nong-chok,1003,8,0,13.872,100.810
1023,เขต หนองแขม,Nong Khaem,nong-khaem,1023,2,0,13.714,100.351
1007,เขต ปทุมวัน,Pathum Wan,pathum-wan,1007,4,0,13.744,100.520
1009,เขต พระโขนง,Phra Khanong,phra-khanong,1009,1,0,13.692,100.626
1032,เขต ประเวศ,Prawet,prawet,1032,3,0,13.687,100.656
1024,เขต ราษฎร์บูรณะ,Rat Burana,rat-burana,1024,2,0,13.670,100.510
1042,เขต สายไหม,Sai Mai,sai-mai,1042,3,0,13.898,100.630
1013,เขต สัมพันธวงศ์,Samphanthawong,samphanthawong,1013,3,0,13.734,100.513
1019,เขต ตลิ่งชัน,Taling Chan,taling-chan,1019,6,0,13.760,100.456
1048,เขต ทวีวัฒนา,Thawi Watthana,thawi-watthana,1048,2,0,13.758,100.348
1049,เขต ทุ่งครุ,Thung Khru,thung-khru,1049,2,0,13.651,100.510
1045,เขต วังทองหลาง,Wang Thonglang,wang-thonglang,1045,1,0,13.779,100.609
1012,เขต ยานนาวา,Yan Nawa,yan-nawa,1012,2,0,13.682,100.533
