id,name.th,name.en,name.slug,code.dopa,children_count.villages,zip_codes,geo.lat,geo.lon
770609,เขาจ้าว,Khao Chao,khao-chao,770609,6,77120,12.396,99.520
770602,เขาน้อย,Khao Noi,khao-noi,770602,7,77120,12.405,99.898
770607,หนองตาแต้ม,Nong Ta Taem,nong-ta-taem,770607,12,77120,12.380,99.814
770604,ปากน้ำปราณ,Pak Nam Pran,pak-nam-pran,770604,5,77220,12.381,99.981
770601,ปราณบุรี,Pran Buri,pran-buri,770601,7,77120,12.354,99.932
770608,วังก์พง,Wang Phong,wang-phong,770608,7,77120,12.447,99.911
