id,name.local,name.en,name.slug,code.id,children_count.subdistrict,geo.lat,geo.lon
4617,ดอนจาน,Don Chan,don-chan-4617,4617,5,16.475,103.639
4608,ห้วยเม็ก,Huai Mek,huai-mek-4608,4608,9,16.538,103.314
4614,ห้วยผึ้ง,Huai Phueng,huai-phueng-4614,4614,4,16.597,103.873
4601,เมืองกาฬสินธุ์,Kalasin,kalasin-4601,4601,17,16.437,103.522
4603,กมลาไสย,Kamalasai,kamalasai-4603,4603,8,16.289,103.511
4610,คำม่วง,Kham Muang,kham-muang-4610,4610,6,16.803,103.655
4606,เขาวง,Khao Wong,khao-wong-4606,4606,6,16.719,104.055
4618,ฆ้องชัย,Khong Chai,khong-chai-4618,4618,5,16.321,103.493
4605,กุฉินารายณ์,Kuchinarai,kuchinarai-4605,4605,12,16.506,104.001
4616,นาคู,Na Khu,na-khu-4616,4616,5,16.761,104.063
4602,นามน,Na Mon,na-mon-4602,4602,5,16.548,103.82
4612,หนองกุงศรี,Nong Kung Si,nong-kung-si-4612,4612,9,16.678,103.307
4604,ร่องคำ,Rong Kham,rong-kham-4604,4604,3,16.266,103.737
4609,สหัสขันธ์,Sahatsakhan,sahatsakhan-4609,4609,7,16.706,103.491
4615,สามชัย,Sam Chai,sam-chai-4615,4615,4,16.814,103.546
4613,สมเด็จ,Somdet,somdet-4613,4613,8,16.759,103.679
4611,ท่าคันโท,Tha Khantho,tha-khantho-4611,4611,6,16.869,103.237
4607,ยางตลาด,Yang Talat,yang-talat-4607,4607,15,16.543,103.351
