id,name.th,name.en,name.slug,code.dopa,children_count.villages,zip_codes,geo.lat,geo.lon
401510,ดอนดั่ง,Don Dang,don-dang,401510,10,40190,15.770,102.788
401507,ดอนดู่,Don Du,don-du,401507,12,40190,15.809,102.874
401508,ดงเค็ง,Dong Kheng,dong-kheng,401508,13,40190,15.670,102.812
401509,หันโจด,Han Chot,han-chot,401509,12,40190,15.758,102.695
401502,คึมชาด,Khuemchat,khuemchat,401502,10,40190,15.818,102.802
401503,โนนธาตุ,Non That,non-that,401503,11,40190,15.705,102.720
401506,หนองเม็ก,Nong Mek,nong-mek,401506,15,40190,15.787,102.724
401512,หนองไผ่ล้อม,Nong Phai Lom,nong-phai-lom,401512,9,40190,15.752,102.841
401501,หนองสองห้อง,Nong Song Hong,nong-song-hong,401501,18,40190,15.707,102.771
401505,สำโรง,Samrong,samrong,401505,9,40190,15.833,102.744
401504,ตะกั่วป่า,Takua Pa,takua-pa,401504,11,40190,15.714,102.824
401511,วังหิน,Wang Hin,wang-hin,401511,8,40190,15.873,102.742
