id,name.th,name.en,name.slug,code.dopa,children_count.subdistricts,children_count.villages,geo.lat,geo.lon
3901,เมืองหนองบัวลำภู,Mueang Nong Bua Lam Phu,mueang-nong-bua-lam-phu,3901,15,187,17.243,102.440
3902,นากลาง,Na Klang,na-klang,3902,9,127,17.181,102.154
3906,นาวัง,Na Wang,na-wang,3906,5,51,17.308,102.117
3903,โนนสัง,Non Sang,non-sang,3903,10,107,16.872,102.560
3904,ศรีบุญเรือง,Si Bun Rueang,si-bun-rueang,3904,12,158,16.985,102.246
3905,สุวรรณคูหา,Suwannakhuha,suwannakhuha,3905,8,91,17.551,102.277
