id,name.th,name.en,name.slug,code.dopa,children_count.subdistricts,children_count.villages,geo.lat,geo.lon
2304,บ่อไร่,Bo Rai,bo-rai,2304,5,33,12.585,102.469
2303,เขาสมิง,Khao Saming,khao-saming,2303,8,66,12.469,102.435
2302,คลองใหญ่,Khlong Yai,khlong-yai,2302,3,20,11.699,102.909
2307,เกาะช้าง,Ko Chang,ko-chang,2307,2,9,12.161,102.247
2306,เกาะกูด,Ko Kut,ko-kut,2306,2,8,11.817,102.397
2305,แหลมงอบ,Laem Ngop,laem-ngop,2305,4,27,12.209,102.436
2301,เมืองตราด,Mueang Trat,mueang-trat,2301,13,101,12.078,102.562
