id,name.th,name.en,name.slug,code.dopa,children_count.villages,zip_codes,geo.lat,geo.lon
750104,บ้านปรก,Ban Prok,ban-prok,750104,11,75000,13.430,99.992
750111,บางจะเกร็ง,Bang Chakreng,bang-chakreng,750111,5,75000,13.376,100.010
750105,บางแก้ว,Bang Kaeo,bang-kaeo,750105,10,75000,13.431,100.060
750102,บางขันแตก,Bang Khan Taek,bang-khan-taek,750102,12,75000,13.384,99.955
750108,คลองเขิน,Khlong Khoen,khlong-khoen,750108,9,75000,13.445,99.988
750109,คลองโคน,Khlong Khon,khlong-khon,750109,7,75000,13.329,99.950
750107,แหลมใหญ่,Laem Yai,laem-yai,750107,8,75000,13.354,99.990
750103,ลาดใหญ่,Lat Yai,lat-yai,750103,12,75000,13.451,100.037
750101,แม่กลอง,Mae Klong,mae-klong,750101,14,75000,13.400,99.994
750110,นางตะเคียน,Nang Takhian,nang-takhian,750110,7,75000,13.480,100.027
750106,ท้ายหาด,Thai Hat,thai-hat,750106,6,75000,13.399,99.976
