id,name.local,name.en,name.slug,code.id,children_count.subdistrict,geo.lat,geo.lon
8017,บางขัน,Bang Khan,bang-khan-8017,8017,4,7.933,99.507
8007,ชะอวด,Cha-uat,cha-uat-8007,8007,11,7.949,100.017
8023,เฉลิมพระเกียรติ,Chaloem Phra Kiat,chaloem-phra-kiat-8023,8023,4,8.213,100.039
8022,ช้างกลาง,Chang Klang,chang-klang-8022,8022,3,8.354,99.535
8004,ฉวาง,Chawang,chawang-8004,8004,10,8.533,99.5
8006,เชียรใหญ่,Chian Yai,chian-yai-8006,8006,10,8.156,100.197
8019,จุฬาภรณ์,Chulabhorn,chulabhorn-8019,8019,6,8.028,99.924
8016,หัวไทร,Hua Sai,hua-sai-8016,8016,11,7.969,100.322
8015,ขนอม,Khanom,khanom-8015,8015,3,9.324,99.775
8003,ลานสกา,Lan Saka,lan-saka-8003,8003,5,8.443,99.804
8001,เมืองนครศรีธรรมราช,Mueang Nakhon Si Thammarat,mueang-nakhon-si-thammarat-8001,8001,16,8.434,99.966
8010,นาบอน,Na Bon,na-bon-8010,8010,3,8.255,99.487
8021,นบพิตำ,Nopphitam,nopphitam-8021,8021,4,8.666,99.827
8012,ปากพนัง,Pak Phanang,pak-phanang-8012,8012,17,8.246,100.185
8005,พิปูน,Phipun,phipun-8005,8005,5,8.534,99.553
8020,พระพรหม,Phra Phrom,phra-phrom-8020,8020,4,8.331,99.907
8002,พรหมคีรี,Phrom Khiri,phrom-khiri-8002,8002,5,8.54,99.874
8013,ร่อนพิบูลย์,Ron Phibun,ron-phibun-8013,8013,6,8.14,99.9
8014,สิชล,Sichon,sichon-8014,8014,9,9.008,99.902
8008,ท่าศาลา,Tha Sala,tha-sala-8008,8008,10,8.613,99.923
8018,ถ้ำพรรณรา,Tham Phannara,tham-phannara-8018,8018,3,8.414,99.373
8009,ทุ่งสง,Thung Song,thung-song-8009,8009,13,8.168,99.689
8011,ทุ่งใหญ่,Thung Yai,thung-yai-8011,8011,7,8.372,99.342
