id,name.th,name.en,name.slug,code.dopa,children_count.villages,zip_codes,geo.lat,geo.lon
800810,ดอนตะโก,Don tako,don-tako,800810,6,80160,8.560,99.903
800804,หัวตะพาน,Hua Taphan,hua-taphan,800804,9,80160,8.628,99.889
800802,กลาย,Klai,klai,800802,12,80160,8.812,99.902
800807,โมคลาน,Mokkhalan,mokkhalan,800807,15,80160,8.589,99.885
800813,โพธิ์ทอง,Pho Thong,pho-thong,800813,8,80160,8.613,99.923
800806,สระแก้ว,Sa Kaeo,sa-kaeo,800806,11,80160,8.752,99.867
800811,ตลิ่งชัน,Taling Chan,taling-chan,800811,9,80160,8.783,99.821
800803,ท่าขึ้น,Tha Khuen,tha-khuen,800803,15,80160,8.714,99.887
800801,ท่าศาลา,Tha Sala,tha-sala,800801,15,80160,8.669,99.926
800809,ไทยบุรี,Thai buri,thai-buri,800809,10,80160,8.665,99.879
