id,name.local,name.en,name.slug,code.id,children_count.subdistrict,geo.lat,geo.lon
7204,บางปลาม้า,Bang Pla Ma,bang-pla-ma-7204,7204,14,14.346,100.14
7203,ด่านช้าง,Dan Chang,dan-chang-7203,7203,7,14.937,99.666
7202,เดิมบางนางบวช,Doem Bang Nang Buat,doem-bang-nang-buat-7202,7202,13,14.85,99.988
7206,ดอนเจดีย์,Don Chedi,don-chedi-7206,7206,5,14.603,99.955
7201,เมืองสุพรรณบุรี,Mueang Suphan Buri,mueang-suphan-buri-7201,7201,20,14.471,100.116
7210,หนองหญ้าไซ,Nong Ya Sai,nong-ya-sai-7210,7210,6,14.749,99.806
7208,สามชุก,Sam Chuk,sam-chuk-7208,7208,7,14.763,100.095
7205,ศรีประจันต์,Si Prachan,si-prachan-7205,7205,9,14.661,100.095
7207,สองพี่น้อง,Song Phi Nong,song-phi-nong-7207,7207,15,14.225,100.023
7209,อู่ทอง,U Thong,u-thong-7209,7209,13,14.322,99.898
