id,name.th,name.en,name.slug,code.dopa,children_count.villages,zip_codes,geo.lat,geo.lon
910201,ควนโดน,Khuan Don,khuan-don,910201,10,91160,6.814,100.060
910202,ควนสตอ,Khuan Sato,khuan-sato,910202,10,91160,6.764,100.101
910204,วังประจัน,Wang Prachan,wang-prachan,910204,4,91160,6.753,100.160
910203,ย่านซื่อ,Yan Sue,yan-sue,910203,7,91160,6.767,100.065
