id,name.local,name.en,name.slug,code.id,children_count.subdistrict,geo.lat,geo.lon
9210,หาดสำราญ,Hat Samran,hat-samran-9210,9210,3,7.033,99.449
9206,ห้วยยอด,Huai Yot,huai-yot-9206,9206,16,7.811,99.618
9202,กันตัง,Kantang,kantang-9202,9202,16,7.272,99.475
9201,เมืองตรัง,Mueang Trang,mueang-trang-9201,9201,15,7.599,99.664
9208,นาโยง,Na Yong,na-yong-9208,9208,6,7.566,99.699
9204,ปะเหลียน,Palian,palian-9204,9204,11,7.152,99.651
9209,รัษฎา,Ratsada,ratsada-9209,9209,5,7.987,99.645
9205,สิเกา,Sikao,sikao-9205,9205,5,7.47,99.32
9207,วังวิเศษ,Wang Wiset,wang-wiset-9207,9207,5,7.69,99.523
9203,ย่านตาขาว,Yan Ta Khao,yan-ta-khao-9203,9203,8,7.406,99.674
