id,name.th,name.en,name.slug,code.dopa,children_count.subdistricts,children_count.villages,geo.lat,geo.lon
3121,บ้านด่าน,Ban Dan,ban-dan,3121,4,59,15.138,103.219
3108,บ้านกรวด,Ban Kruat,ban-kruat,3108,9,118,14.473,103.143
3119,บ้านใหม่ไชยพจน์,Ban Mai Chaiyaphot,ban-mai-chaiyaphot,3119,5,55,15.534,102.860
3123,เฉลิมพระเกียรติ,Chaloem Phra Kiat,chaloem-phra-kiat,3123,5,67,14.505,102.918
3118,ชำนิ,Chamni,chamni,3118,6,63,14.755,102.888
3116,ห้วยราช,Huai Rat,huai-rat,3116,8,80,14.982,103.203
3122,แคนดง,Khaen Dong,khaen-dong,3122,4,54,15.267,103.180
3102,คูเมือง,Khu Mueang,khu-mueang,3102,7,106,15.388,103.008
3103,กระสัง,Krasang,krasang,3103,11,168,15.027,103.338
3106,ละหานทราย,Lahan Sai,lahan-sai,3106,6,84,14.393,102.787
3110,ลำปลายมาศ,Lam Plai Mat,lam-plai-mat,3110,16,216,15.019,102.834
3101,เมืองบุรีรัมย์,Mueang Buri Ram,mueang-buri-ram,3101,19,341,14.999,103.104
3113,นาโพธิ์,Na Pho,na-pho,3113,5,65,15.673,102.934
3104,นางรอง,Nang Rong,nang-rong,3104,15,208,14.581,102.705
3120,โนนดินแดง,Non Din Daeng,non-din-daeng,3120,3,37,14.346,102.764
3117,โนนสุวรรณ,Non Suwan,non-suwan,3117,4,56,14.621,102.637
3114,หนองหงส์,Nong Hong,nong-hong,3114,7,100,14.889,102.670
3105,หนองกี่,Nong Ki,nong-ki,3105,10,108,14.669,102.571
3112,ปะคำ,Pakham,pakham,3112,5,77,14.432,102.657
3115,พลับพลาชัย,Phlapphla Chai,phlapphla-chai,3115,5,67,14.717,103.241
3109,พุทไธสง,Phutthaisong,phutthaisong,3109,7,97,15.627,102.892
3107,ประโคนชัย,Prakhon Chai,prakhon-chai,3107,16,182,14.569,102.962
3111,สตึก,Satuek,satuek,3111,12,179,15.209,103.183
