id,name.th,name.en,name.slug,code.dopa,children_count.villages,zip_codes,geo.lat,geo.lon
530702,บ้านดารา,Ban Dara,ban-dara,530702,9,53220,17.370,100.130
530708,บ้านโคน,Ban Khon,ban-khon,530708,8,53120,17.208,100.138
530706,บ้านหม้อ,Ban Mo,ban-mo,530706,8,53120,17.256,100.123
530705,คอรุม,Kho Rum,kho-rum,530705,12,53120,17.292,100.031
530710,นาอิน,Na In,na-in,530710,7,53120,17.245,100.193
530711,นายาง,Na Yang,na-yang,530711,7,53120,17.318,100.210
530701,ในเมือง,Nai Mueang,nai-mueang,530701,9,53120,17.301,100.107
530709,พญาแมน,Phaya Maen,phaya-maen,530709,7,53120,17.187,100.016
530703,ไร่อ้อย,Rai Oi,rai-oi,530703,11,53120,17.358,100.027
530707,ท่ามะเฟือง,Tha Mafueang,tha-mafueang,530707,10,53120,17.238,100.021
530704,ท่าสัก,Tha Sak,tha-sak,530704,10,53220,17.379,100.178
